Date,RY.TO,TD.TO,BNS.TO,SU.TO,CNQ.TO,ENB.TO,SHOP.TO,NVDA,AAPL,MCD,SBUX,WMT,SPY,XIU.TO
2025-08-26,186.3655242919922,101.46048736572266,82.12154388427734,53.981937408447266,40.70212936401367,63.908878326416016,194.86000061035156,181.7397918701172,228.87376403808594,307.59893798828125,85.45752716064453,95.65829467773438,639.733642578125,41.87065124511719
2025-08-27,195.84092712402344,102.35724639892578,82.26648712158203,55.012943267822266,41.66754913330078,63.91861343383789,193.02999877929688,181.56982421875,230.05152893066406,306.1146545410156,86.47359466552734,95.68817138671875,641.1912841796875,42.04844284057617
2025-08-28,196.526123046875,97.73699188232422,82.93328094482422,55.65489196777344,41.83167266845703,64.00617980957031,194.77999877929688,180.1400604248047,232.11758422851562,306.8912353515625,86.8287124633789,95.71804809570312,643.4619750976562,41.999061584472656
2025-08-29,195.36126708984375,100.51499938964844,82.88496398925781,55.217201232910156,41.98613739013672,64.6581039428711,193.97999572753906,174.1510467529297,231.69837951660156,308.1886901855469,86.99641418457031,96.5844955444336,639.6245727539062,42.236114501953125
2025-09-02,195.31231689453125,100.15434265136719,82.7400131225586,55.38254928588867,42.58469772338867,64.76514434814453,191.7100067138672,170.75161743164062,229.28298950195312,312.1328430175781,88.56489562988281,97.4509506225586,634.884765625,42.265750885009766
2025-09-03,196.72189331054688,100.71969604492188,83.81268310546875,54.58497619628906,41.59031677246094,64.88190460205078,193.49000549316406,170.59165954589844,238.01634216308594,312.7556457519531,86.06913757324219,99.03446960449219,638.3256225585938,42.473175048828125
2025-09-04,197.45603942871094,100.71969604492188,84.89500427246094,54.62428665161133,41.889591217041016,64.78460693359375,200.77999877929688,171.63148498535156,239.3238525390625,313.34869384765625,85.83238983154297,100.51838684082031,643.6602783203125,42.7398681640625
2025-09-05,195.9877471923828,100.55399322509766,84.90467071533203,54.437583923339844,40.605587005615234,65.06678771972656,203.33999633789062,166.9922637939453,239.2340087890625,310.7686767578125,84.27376556396484,100.10010528564453,641.796142578125,42.87815475463867
2025-09-08,195.54725646972656,100.62222290039062,85.32987213134766,54.61445999145508,40.412498474121094,64.95001983642578,201.89999389648438,168.2820281982422,237.42745971679688,309.2068176269531,83.03082275390625,101.86287689208984,643.3727416992188,42.828765869140625
2025-09-09,195.47872924804688,101.80165100097656,85.37818145751953,55.79361343383789,41.33930587768555,65.17382049560547,198.8300018310547,170.7316131591797,233.9041748046875,308.9300537109375,82.67568969726562,101.87284088134766,644.8601684570312,42.888031005859375
2025-09-10,195.71365356445312,102.58143615722656,85.59077453613281,57.532859802246094,41.74478530883789,65.53384399414062,197.22000122070312,177.300537109375,226.35855102539062,302.4256591796875,81.7582778930664,100.00050354003906,646.724365234375,42.996681213378906
2025-09-11,196.5750732421875,103.55618286132812,85.88069915771484,57.09068298339844,41.68685531616211,65.67980194091797,200.64999389648438,177.1505584716797,229.59239196777344,304.8870544433594,81.24531555175781,102.23136901855469,652.0988159179688,43.3423957824707
2025-09-12,195.4102020263672,103.6341552734375,84.7886962890625,56.746761322021484,41.715816497802734,66.14686584472656,198.49000549316406,177.80047607421875,233.62472534179688,301.891845703125,80.79154968261719,103.06794738769531,651.8805541992188,43.13496398925781
2025-09-15,196.01710510253906,104.25798797607422,85.194580078125,57.12015914916992,42.62331771850586,65.75764465332031,203.6699981689453,177.73049926757812,236.24969482421875,298.60009765625,81.56098175048828,103.26713562011719,655.3511352539062,43.37202835083008
2025-09-16,196.7708282470703,104.37496185302734,86.13194274902344,58.122440338134766,43.71424102783203,65.4365463256836,202.33999633789062,174.86080932617188,237.6969451904297,299.80609130859375,83.22811889648438,102.99822998046875,654.4487915039062,43.243621826171875
2025-09-17,197.26026916503906,105.25222778320312,85.99665069580078,57.99469757080078,43.57908248901367,65.78683471679688,203.57000732421875,170.27130126953125,238.5353546142578,301.4667663574219,82.09368133544922,103.84475708007812,653.6357421875,43.28313064575195
2025-09-18,197.3777313232422,105.45692443847656,86.18026733398438,57.89643096923828,43.33772659301758,65.95225524902344,209.74000549316406,176.2206573486328,237.42745971679688,297.6808166503906,82.29096984863281,103.17749786376953,656.6898803710938,43.49055480957031
2025-09-19,198.84600830078125,105.65186309814453,86.58613586425781,56.28492736816406,42.631439208984375,66.51661682128906,211.60000610351562,176.6505889892578,245.032958984375,298.90655517578125,83.41554260253906,101.91268157958984,659.9423217773438,43.925167083740234
2025-09-22,201.1561279296875,106.79231262207031,86.06430053710938,56.736934661865234,43.43359375,66.16632080078125,217.27000427246094,183.58984375,255.5928192138672,299.509521484375,84.13566589355469,102.40067291259766,663.0645751953125,44.15235137939453
2025-09-23,200.70584106445312,106.19772338867188,86.11262512207031,57.532859802246094,43.472721099853516,66.7890625,207.47000122070312,178.410400390625,253.9459686279297,299.70721435546875,84.53025817871094,102.10189819335938,659.4551391601562,43.95479965209961
2025-09-24,200.4415740966797,105.84680938720703,86.0932846069336,57.9652214050293,44.55855941772461,67.60641479492188,206.83999633789062,176.9505615234375,251.8300018310547,300.8341369628906,83.12947082519531,102.31105041503906,657.3569946289062,43.89553451538086
2025-09-25,199.54103088378906,107.18220520019531,86.74075317382812,58.53514099121094,44.28465270996094,67.24639129638672,199.9600067138672,177.67050170898438,256.3813171386719,298.8274230957031,82.69542694091797,102.62974548339844,654.3242797851562,43.806636810302734
2025-09-26,199.32566833496094,107.5623550415039,86.73109436035156,58.35826873779297,44.578125,67.22692108154297,195.39999389648438,178.17044067382812,254.97401428222656,301.7336730957031,82.2613754272461,102.73929595947266,658.072998046875,43.79676055908203
2025-09-29,200.37303161621094,108.30315399169922,87.16595458984375,57.45425796508789,44.04987716674805,67.36315155029297,207.4600067138672,181.83004760742188,253.9459686279297,299.509521484375,84.48092651367188,102.65962219238281,659.9224243164062,44.13259506225586
2025-09-30,200.78416442871094,108.46886444091797,86.96302032470703,57.22825241088867,43.53141403198242,68.31672668457031,206.75999450683594,186.55950927734375,254.14559936523438,300.3992004394531,83.45500183105469,102.63969421386719,662.4082641601562,44.221492767333984
2025-10-01,200.9114227294922,109.2973861694336,87.04032897949219,56.560062408447266,43.296634674072266,67.2950439453125,208.6199951171875,187.21945190429688,254.9640350341797,297.06787109375,83.25770568847656,101.54418182373047,664.6654052734375,44.31039047241211
2025-10-02,200.11854553222656,108.3323974609375,87.81342315673828,56.41266632080078,42.96403884887695,67.51883697509766,211.24000549316406,188.8692626953125,256.6408386230469,296.4352722167969,85.54631042480469,101.28524017333984,665.4309692382812,44.37953186035156
2025-10-03,200.72543334960938,110.39884948730469,87.9680404663086,56.6976318359375,43.43359375,67.99562072753906,224.88999938964844,187.5994110107422,257.5291442871094,297.52264404296875,85.2503662109375,101.65373992919922,665.421142578125,44.932674407958984
2025-10-06,200.69607543945312,110.43782806396484,88.0840072631836,56.94329071044922,44.294437408447266,67.5577621459961,229.52000427246094,185.51962280273438,256.2016906738281,292.6393737792969,80.99870300292969,102.28116607666016,667.8074951171875,44.962303161621094
2025-10-07,199.30609130859375,110.08692932128906,87.65361022949219,56.727108001708984,44.72486114501953,67.14908599853516,225.10000610351562,185.01968383789062,255.99208068847656,292.9161682128906,80.18980407714844,102.81896209716797,665.3316040039062,44.71536636352539
2025-10-08,198.22933959960938,109.50208282470703,86.48958587646484,56.00979232788086,44.55855941772461,66.6139144897461,232.4199981689453,189.0892333984375,257.5690612792969,291.0181884765625,78.95671844482422,102.48035430908203,669.2990112304688,44.784507751464844
2025-10-09,199.50184631347656,109.19017028808594,87.25255584716797,55.665870666503906,44.881378173828125,65.50465393066406,229.8800048828125,192.54885864257812,253.55670166015625,290.43499755859375,78.70024108886719,101.3549575805664,667.3600463867188,44.52769470214844
2025-10-10,196.94703674316406,108.01924896240234,86.9004135131836,54.31966781616211,43.0129508972168,64.969482421875,211.38999938964844,183.139892578125,244.80340576171875,293.5982360839844,77.39810180664062,101.42467498779297,649.32275390625,43.90541076660156
2025-10-13,,,,,,,,188.29933166503906,247.18885803222656,296.66259765625,78.94685363769531,101.70352935791016,659.2860107421875,
2025-10-14,199.8738250732422,109.72151184082031,88.14269256591797,54.349151611328125,42.494483947753906,64.95001983642578,214.83999633789062,180.01022338867188,247.29864501953125,301.0614929199219,80.05169677734375,106.77277374267578,658.4805908203125,44.577083587646484
2025-10-15,201.93923950195312,111.14824676513672,88.61221313476562,53.99540710449219,42.416229248046875,65.08625030517578,219.4199981689453,179.8102569580078,248.8656463623047,301.7435607910156,81.7385482788086,108.5853500366211,661.4039306640625,44.932674407958984
2025-10-16,199.88360595703125,108.95401763916016,87.94706726074219,53.2584342956543,41.56516647338867,64.58999633789062,220.10000610351562,181.7900390625,246.979248046875,301.8226318359375,83.19851684570312,106.03579711914062,656.8995971679688,44.6165885925293
2025-10-17,199.95213317871094,109.27872467041016,87.36994171142578,53.10121154785156,41.27169418334961,64.20079040527344,220.92999267578125,183.19989013671875,251.81002807617188,304.5509338378906,84.20471954345703,107.29065704345703,660.62841796875,44.26100158691406
2025-10-20,201.85113525390625,110.27252197265625,87.9079360961914,52.80642318725586,41.31082534790039,64.45377349853516,231.35000610351562,182.6199493408203,261.7411193847656,304.234619140625,83.38594818115234,106.61343383789062,667.499267578125,44.70548629760742
2025-10-21,201.097412109375,110.83338165283203,88.3089828491211,52.58041763305664,40.99778747558594,64.50242614746094,227.9600067138672,181.14010620117188,262.2701110839844,303.9479675292969,84.73741149902344,105.78681182861328,667.4893188476562,44.093082427978516
2025-10-22,200.93099975585938,111.29583740234375,87.77098846435547,53.72026443481445,41.52603530883789,64.9305648803711,226.55999755859375,180.2602081298828,257.9583435058594,306.5477294921875,84.34281921386719,106.70306396484375,664.0191040039062,44.211612701416016
2025-10-23,201.97836303710938,111.32535552978516,88.21116638183594,54.457237243652344,42.7292594909668,64.20079040527344,233.50999450683594,182.13999938964844,259.0861511230469,303.4438171386719,84.28363800048828,106.42420196533203,667.9566650390625,44.47830581665039
2025-10-24,202.51675415039062,111.53199005126953,88.70024871826172,54.7618522644043,42.82708740234375,63.87968826293945,242.1199951171875,186.23953247070312,262.32000732421875,302.2773742675781,84.92483520507812,105.73701477050781,673.4155883789062,44.72523880004883
2025-10-27,204.5877685546875,112.42739868164062,89.3360595703125,55.095943450927734,43.149906158447266,64.39539337158203,245.1699981689453,191.46897888183594,268.2986145019531,306.43902587890625,86.03954315185547,104.04395294189453,681.3603515625,44.73512268066406
2025-10-28,204.93295288085938,113.44087982177734,89.85448455810547,54.29018783569336,42.7292594909668,63.87968826293945,249.38999938964844,201.0079345703125,268.4882507324219,302.8803405761719,84.27376556396484,102.7492446899414,683.1700439453125,44.903038024902344
2025-10-29,201.72779846191406,112.20108032226562,89.11107635498047,54.8208122253418,43.85423278808594,63.36397933959961,249.7100067138672,207.01727294921875,269.1869201660156,298.87689208984375,83.03082275390625,102.04214477539062,683.4982299804688,44.40916442871094
2025-10-30,201.3037109375,112.80130004882812,89.85448455810547,54.59480667114258,43.69771194458008,63.93806838989258,242.9499969482422,202.8677215576172,270.8836669921875,298.9559631347656,82.0246353149414,101.8130874633789,675.9810180664062,44.45854949951172
2025-10-31,202.63510131835938,113.3129653930664,89.98165130615234,54.879764556884766,43.89336013793945,63.63643264770508,243.86000061035156,202.4677734375,269.85565185546875,295.0019226074219,79.7754898071289,100.76737213134766,678.1983032226562,44.58695602416992
2025-11-03,204.36094665527344,113.3326416015625,90.34357452392578,54.71272277832031,43.922706604003906,63.75319290161133,242.9600067138672,206.85728454589844,268.53814697265625,292.965576171875,79.86426544189453,101.17568969726562,679.4711303710938,44.64622497558594
2025-11-04,202.56605529785156,111.73861694335938,90.65658569335938,54.68324279785156,43.218379974365234,63.63643264770508,227.22999572753906,198.66818237304688,269.5262756347656,295.77294921875,78.52267456054688,101.85292053222656,671.4169921875,43.974552154541016
2025-11-05,202.80274963378906,112.02397155761719,90.38269805908203,57.15946578979492,44.030311584472656,64.00617980957031,230.6300048828125,195.18858337402344,269.6260986328125,302.15875244140625,81.7582778930664,101.05618286132812,673.7437133789062,44.43880081176758
2025-11-06,202.41812133789062,111.71894836425781,90.96959686279297,58.2403564453125,43.472721099853516,64.45377349853516,220.3300018310547,188.05935668945312,269.25677490234375,294.9821472167969,81.10721588134766,101.26532745361328,666.514892578125,44.093082427978516
2025-11-07,201.1952362060547,111.75830841064453,91.49781036376953,58.72184371948242,43.43359375,65.13490295410156,214.22000122070312,188.1293487548828,267.9592590332031,296.2178039550781,84.41188049316406,102.1716079711914,667.1710815429688,44.12271499633789
2025-11-10,202.99998474121094,111.89605712890625,92.15318298339844,59.34089660644531,43.84444808959961,65.33924102783203,222.69000244140625,199.0281524658203,269.1781311035156,295.6642150878906,83.45500183105469,102.00231170654297,677.5818481445312,44.67585754394531
2025-11-11,203.95660400390625,112.51594543457031,91.49781036376953,60.64779281616211,44.39226150512695,65.85494995117188,222.7100067138672,193.1387939453125,274.99267578125,303.305419921875,85.2503662109375,103.01815032958984,679.1329956054688,44.88328170776367
2025-11-12,205.8796844482422,114.03125,92.9259262084961,60.84431457519531,44.43138885498047,66.40957641601562,219.49000549316406,193.7787322998047,273.21435546875,303.4141845703125,86.07901000976562,103.01815032958984,679.5109252929688,45.42654800415039
2025-11-13,203.00985717773438,112.3880386352539,92.35859680175781,60.1171760559082,44.666168212890625,65.93279266357422,205.8800048828125,186.8394775390625,272.6948547363281,304.0467834472656,85.27010345458984,102.121826171875,668.235107421875,44.626468658447266
2025-11-14,202.62522888183594,112.22077178955078,92.58358001708984,61.08997344970703,46.03569412231445,66.27125549316406,204.9199981689453,190.14910888671875,272.15533447265625,303.50311279296875,84.23676300048828,102.06207275390625,668.1256713867188,44.75487518310547
2025-11-17,204.07493591308594,112.62419128417969,92.5933609008789,61.3651123046875,45.84982681274414,66.22191619873047,196.88999938964844,186.5795135498047,267.2099609375,301.3975830078125,83.15374755859375,102.5301513671875,661.901123046875,44.37953186035156
2025-11-18,205.5049591064453,113.0866470336914,92.73030090332031,62.10208511352539,46.52481460571289,66.61662292480469,196.32000732421875,181.340087890625,267.19000244140625,301.0911560058594,82.79605865478516,100.97650909423828,656.3427734375,44.340023040771484
2025-11-19,205.63314819335938,112.83081817626953,91.97710418701172,62.151214599609375,46.74980545043945,67.48497009277344,205.36000061035156,186.49952697753906,268.3089294433594,299.26239013671875,83.14381408691406,100.19969177246094,658.8783569335938,44.61845016479492
2025-11-20,205.11045837402344,112.82098388671875,91.54670715332031,61.89573287963867,46.8574104309082,67.22840881347656,203.9199981689453,180.6201629638672,266.0010986328125,300.6661071777344,82.09060668945312,106.67318725585938,648.8355712890625,44.260467529296875
2025-11-21,208.46356201171875,113.7360610961914,91.94776916503906,61.345458984375,46.0846061706543,66.70542907714844,208.27999877929688,178.86036682128906,271.2361755371094,305.7964782714844,84.80310821533203,104.8904800415039,655.2987670898438,44.578678131103516
2025-11-24,208.47341918945312,114.83809661865234,91.90863800048828,61.3651123046875,45.468318939208984,65.89627838134766,219.13999938964844,182.52996826171875,275.6620788574219,301.3975830078125,82.80598449707031,103.6356201171875,664.9437866210938,45.11564636230469
2025-11-25,211.75747680664062,114.17884826660156,93.5910873413086,61.433895111083984,45.82048034667969,66.19231414794922,221.99000549316406,177.80047607421875,276.7110900878906,306.88385009765625,85.35952758789062,106.56362915039062,671.1982421875,45.602901458740234
2025-11-26,212.09278869628906,115.27104949951172,94.76488494873047,61.33563232421875,45.781349182128906,66.5771484375,223.8699951171875,180.24020385742188,277.29052734375,308.8114318847656,86.14445495605469,108.65506744384766,675.8318481445312,45.96088409423828
2025-11-27,212.43795776367188,115.18247985839844,94.77466583251953,61.414241790771484,45.71287536621094,66.5278091430664,224.0,,,,,,,46.00065612792969
2025-11-28,213.1578826904297,115.76303100585938,94.8235855102539,61.74833679199219,46.26068878173828,67.03105926513672,223.22000122070312,176.98056030273438,278.5893249511719,308.23809814453125,86.55183410644531,110.05931854248047,679.5208129882812,46.16970443725586
2025-12-01,211.13616943359375,115.08409118652344,93.93344116210938,61.6599006652832,46.63241195678711,67.53431701660156,209.11000061035156,179.90025329589844,282.8353576660156,301.88360595703125,84.36593627929688,111.07514953613281,676.41845703125,45.74211502075195
2025-12-02,213.22691345214844,116.30420684814453,96.5647201538086,60.372657775878906,45.918304443359375,66.39952850341797,219.36000061035156,181.44007873535156,285.9224548339844,299.0494384765625,84.65406799316406,111.95156860351562,677.67138671875,45.74211502075195
2025-12-03,215.62338256835938,115.81221771240234,95.93869018554688,61.8809814453125,46.60306930541992,65.74826049804688,223.1300048828125,179.57028198242188,283.8843688964844,306.0006103515625,86.55183410644531,113.94341278076172,680.0180053710938,45.91115951538086
2025-12-04,220.96859741210938,118.16388702392578,96.18323516845703,61.99013900756836,47.04327392578125,66.36992645263672,226.6699981689453,183.37008666992188,280.4375915527344,306.82598876953125,84.45535278320312,114.37165832519531,680.51513671875,46.398414611816406
2025-12-05,221.6195068359375,120.24004364013672,97.09292602539062,60.719966888427734,46.91610336303711,65.69892883300781,222.77999877929688,182.40013122558594,278.5193786621094,309.5010681152344,84.5745849609375,114.64055633544922,681.8078002929688,46.159759521484375
2025-12-08,223.32562255859375,120.19085693359375,97.2200927734375,60.56119918823242,46.18242645263672,65.9258804321289,219.67999267578125,185.5399627685547,277.6302185058594,308.0690612792969,82.87554168701172,113.09687042236328,679.7594604492188,45.89127731323242
2025-12-09,222.9114227294922,121.48967742919922,97.85590362548828,60.1741943359375,45.65418243408203,64.99832153320312,221.75999450683594,184.95999145507812,276.9208679199219,309.0635070800781,81.75277709960938,114.59075927734375,679.1727905273438,45.9509391784668
2025-12-10,224.60769653320312,123.86102294921875,98.01240539550781,60.481815338134766,45.49766159057617,64.26811218261719,232.49000549316406,183.77005004882812,278.5193786621094,308.804931640625,83.3127212524414,112.71842193603516,683.6771850585938,46.308921813964844
2025-12-11,226.82664489746094,124.4021987915039,98.20804595947266,60.51158142089844,44.62703323364258,64.37665557861328,226.91000366210938,180.92019653320312,277.77008056640625,307.9894714355469,84.19701385498047,115.04888153076172,685.26806640625,46.53763198852539
2025-12-12,225.14022827148438,123.78231048583984,97.9830551147461,60.541351318359375,45.03136444091797,64.59375,226.14999389648438,175.01052856445312,278.0198669433594,314.9605407714844,84.80310821533203,116.46098327636719,677.9000854492188,46.438194274902344
2025-12-15,226.92527770996094,124.71707153320312,98.35476684570312,59.60857391357422,44.25838088989258,64.79110717773438,220.22000122070312,176.28045654296875,273.8537292480469,316.95941162109375,84.85279083251953,116.5508041381836,676.8758544921875,46.38847351074219
2025-12-16,225.6234893798828,124.08733367919922,98.03196716308594,57.614013671875,42.613311767578125,63.380027770996094,224.35000610351562,177.71038818359375,274.353271484375,312.7528991699219,84.53484344482422,115.18360900878906,675.0264282226562,46.05038070678711
2025-12-17,224.7161865234375,123.76262664794922,96.35930633544922,58.526947021484375,43.55476760864258,63.80433654785156,223.02000427246094,170.93075561523438,271.58587646484375,316.91961669921875,84.66400909423828,115.42312622070312,667.5986938476562,46.05038070678711
2025-12-18,227.1816864013672,125.44519805908203,97.17117309570312,58.01094055175781,43.019622802734375,63.57737731933594,229.89999389648438,174.1305694580078,271.935546875,317.874267578125,88.84703063964844,114.59481811523438,672.6399536132812,46.40835952758789
2025-12-19,229.499267578125,125.93717956542969,97.93415832519531,58.526947021484375,43.59440994262695,63.449100494384766,233.8000030517578,180.98020935058594,273.4141845703125,314.08544921875,87.7640151977539,114.12578582763672,678.7363891601562,46.796173095703125
2025-12-22,230.3375244140625,125.92735290527344,98.20804595947266,58.60633087158203,44.08000183105469,63.54777526855469,233.3800048828125,183.6800537109375,270.7166748046875,314.46331787109375,85.61785125732422,112.369384765625,682.96484375,47.02488327026367
2025-12-23,230.82077026367188,126.85226440429688,98.83406829833984,58.63610076904297,44.55568313598633,64.12996673583984,232.1199951171875,189.19976806640625,272.1053771972656,309.11322021484375,83.3226547241211,110.67286682128906,686.0863037109375,47.1143798828125
2025-12-24,230.62353515625,127.08841705322266,99.0981674194336,58.64602279663086,44.664695739746094,64.02142333984375,231.75999450683594,188.59979248046875,273.55401611328125,311.5893859863281,84.02810668945312,111.38141632080078,688.4996948242188,47.0944938659668
2025-12-26,,,,,,,,190.51968383789062,273.1444091796875,308.9541015625,84.53484344482422,111.51114654541016,688.4298706054688,
2025-12-29,231.9351806640625,127.51152038574219,99.0688247680664,59.44980239868164,45.0809211730957,64.46546936035156,229.85000610351562,188.20980834960938,273.50408935546875,306.8160400390625,85.02169799804688,112.29953002929688,685.9765625,47.00499725341797
2025-12-30,231.75765991210938,127.72798919677734,99.11773681640625,60.50165939331055,46.05210494995117,64.90951538085938,224.2100067138672,187.52984619140625,272.82470703125,306.3188171386719,84.70375061035156,111.69078063964844,685.138916015625,46.95527648925781
2025-12-31,230.76161193847656,127.28520965576172,99.0199203491211,60.45204162597656,46.07192611694336,64.81083679199219,221.0,186.4899139404297,271.6058349609375,303.9321594238281,83.67041015625,111.18183135986328,680.062744140625,46.726566314697266
2026-01-02,231.33360290527344,127.73783874511719,100.16437530517578,62.12906265258789,46.696258544921875,65.18580627441406,216.1300048828125,188.83978271484375,270.75665283203125,301.5753479003906,83.43195343017578,112.52906036376953,681.309326171875,46.985107421875
2026-01-05,234.9628143310547,130.14852905273438,100.57520294189453,61.10697555541992,43.881797790527344,63.22214126586914,229.05999755859375,188.1098175048828,267.0101623535156,298.1942138671875,86.00535583496094,112.47916412353516,685.846923828125,47.442527770996094
2026-01-06,232.20144653320312,128.63323974609375,98.61748504638672,62.00006103515625,43.20791244506836,62.3143196105957,233.0,187.22987365722656,262.1147155761719,301.0880432128906,88.88677215576172,114.10581970214844,689.92578125,47.64140701293945
2026-01-07,231.44207763671875,128.0723876953125,98.72624969482422,62.2183723449707,41.99888610839844,61.8801383972168,231.1199951171875,189.09976196289062,260.08660888671875,302.4703369140625,86.13452911376953,112.48914337158203,687.701904296875,47.2237663269043
2026-01-08,231.78724670410156,129.04649353027344,99.94241333007812,62.84353256225586,43.316925048828125,62.008419036865234,233.44000244140625,185.0299835205078,258.7978515625,307.16412353515625,87.61497497558594,112.83842468261719,687.632080078125,47.65135192871094
2026-01-09,232.27049255371094,130.13784790039062,99.48758697509766,64.50070190429688,44.21874237060547,62.69915771484375,229.02999877929688,184.84999084472656,259.1275329589844,305.61279296875,88.31048583984375,114.2954330444336,692.1796264648438,47.94967269897461
2026-01-12,232.06338500976562,129.62193298339844,99.36893463134766,64.133544921875,44.40703582763672,62.866905212402344,233.0399932861328,184.92999267578125,260.0067138671875,305.0459289550781,89.3835678100586,117.7283935546875,693.2666625976562,48.208213806152344
2026-01-13,231.32373046875,129.3838348388672,99.74465942382812,66.17772674560547,45.57642364501953,63.478702545166016,232.4199981689453,185.79994201660156,260.8059387207031,307.72100830078125,89.97972106933594,120.11349487304688,691.8804931640625,48.238040924072266
2026-01-14,230.85035705566406,129.15562438964844,100.1895980834961,68.38066864013672,47.59807586669922,63.80433654785156,218.61000061035156,183.1300811767578,259.71697998046875,306.41827392578125,90.56594848632812,119.79415130615234,688.479736328125,48.257930755615234
2026-01-15,232.0929718017578,129.6814727783203,101.030029296875,67.52727508544922,47.01338195800781,64.21878051757812,219.67999267578125,187.03988647460938,257.9685974121094,306.9055480957031,92.68229675292969,118.95586395263672,690.3546142578125,48.41703414916992
2026-01-16,232.17185974121094,129.52272033691406,101.030029296875,68.57913208007812,47.36023712158203,65.29434967041016,217.02999877929688,186.21990966796875,255.29112243652344,305.72216796875,92.39414978027344,119.45484161376953,689.7761840820312,48.367313385009766
2026-01-19,231.71823120117188,128.96713256835938,101.04979705810547,68.90660095214844,47.617897033691406,65.07726287841797,214.14999389648438,,,,,,,48.377262115478516
2026-01-20,228.70042419433594,127.65751647949219,100.2291488647461,67.7852783203125,47.1917610168457,64.31745147705078,200.05999755859375,178.06036376953125,246.46937561035156,301.15765380859375,93.05986785888672,118.46687316894531,675.7345581054688,47.69112777709961
2026-01-21,229.10476684570312,128.5305938720703,100.911376953125,69.2936019897461,49.302608489990234,64.52467346191406,191.5800018310547,183.31008911132812,247.41848754882812,303.9918212890625,95.8121109008789,119.11553955078125,683.5332641601562,47.86017608642578
